bodyparts,beak,beak,beak,tail,tail,tail,left_wing,left_wing,left_wing,right_wing,right_wing,right_wing,head,head,head,back,back,back
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
5716,758.5742,848.4531,0.9472656,632.06055,840.0117,0.62109375,723.81067,830.6094,0.58447266,703.1211,865.6328,0.63964844,741.6797,859.6858,0.83154297,706.88574,844.6553,0.78222656
5717,758.5742,848.75195,0.9194336,637.8574,841.2578,0.7338867,725.66797,828.1697,0.6015625,705.8262,865.6328,0.6308594,743.6465,858.2051,0.7504883,710.25586,843.90247,0.83447266
5718,758.5742,848.75195,0.8803711,644.0812,843.08203,0.8486328,727.8965,827.52856,0.6586914,708.8447,865.6328,0.57470703,743.88086,857.0293,0.7236328,716.45996,843.72534,0.87402344
5719,759.0879,848.75195,0.8095703,648,843.77,0.7763672,729.0039,827.00635,0.67041016,716.0135,864.4844,0.5053711,744.27344,856.2637,0.67041016,717.42773,843.5298,0.85498047
5720,759.6465,841.375,0.5253906,650.60156,843.96875,0.44091797,729.5156,826.7988,0.5629883,718.3086,863.9961,0.42651367,747.3364,852.9243,0.5136719,717.6553,843.5298,0.7836914
5721,764.2169,836.4768,0.62646484,657.4258,843.9856,0.4519043,733.6289,826.7988,0.56884766,720.10547,863.16016,0.3828125,751.03906,851.43604,0.5161133,721.9746,843.5298,0.7709961
5722,770.80273,833.40625,0.6645508,662.35547,844.0774,0.67285156,740.0649,827.52856,0.6308594,735.8574,859.8594,0.44091797,758.1367,851.43604,0.45629883,730.9082,845.1221,0.75097656
5723,774.3906,833.40625,0.62841797,665.1211,844.72656,0.68408203,742.6953,826.8711,0.5527344,736.53906,860.0781,0.40625,763.04004,851.43604,0.48486328,736.22266,845.8838,0.80810547
5724,779.2197,833.40625,0.57958984,670.56836,844.8706,0.4272461,745.9219,827.5928,0.45336914,748.27734,861.41797,0.36938477,767.6543,853.47656,0.4494629,740.39624,845.8838,0.7993164
5725,791.5469,845.21484,0.48095703,677.03613,844.8706,0.7089844,751.8203,827.75134,0.44750977,750.83594,861.04297,0.35766602,776.1289,857.8535,0.37402344,743.625,846.4414,0.8300781
5726,800.9375,854.5371,0.6894531,681.5625,844.72656,0.75927734,752.21484,827.75134,0.62646484,754.5137,860.83203,0.38305664,782.9297,858.89746,0.5961914,750.05273,846.40625,0.8051758
5727,809.5703,855.2461,0.77783203,684.5625,845.37305,0.34448242,754.8828,829.2822,0.41601562,761.31055,861.04297,0.37475586,790.22656,858.89746,0.7080078,752.1328,846.40625,0.703125
5728,817.23047,855.96484,0.82470703,691.5757,845.14844,0.5522461,760.6094,829.2822,0.33007812,763.6487,861.41797,0.39575195,797.26465,857.8535,0.67578125,756.4475,845.875,0.7265625
5729,822.4531,856.4531,0.9765625,695.5996,845.14844,0.6826172,771.02344,829.2822,0.4326172,765.9424,861.48047,0.43847656,800.25,855.0547,0.8120117,759.9922,845.875,0.69140625
5730,827.58936,856.6719,0.96875,697.2383,845.14844,0.625,776.8594,828.501,0.48706055,769.6211,864.5703,0.52783203,806.29297,854.5078,0.8491211,768.9453,844.86084,0.68847656
5731,828.59814,856.6719,1,699.48047,845.14844,0.60498047,788.38794,827.6328,0.6152344,771.4946,864.5703,0.6152344,807.8242,853.0469,0.85546875,774.0078,843.1797,0.7714844
5732,828.66504,856.7461,1,706.01074,842.5322,0.7397461,790.2285,827.1875,0.5761719,774.34766,864.5703,0.5908203,808.2324,851.58057,0.88134766,780.4519,843.00635,0.72021484
5733,829.0117,856.8711,1,708.97314,841.93555,0.9873047,790.43164,825.7578,0.73046875,775.8613,864.27734,0.5776367,809.9844,846.5,0.8618164,781.0137,841.72656,0.75634766
5734,829.23926,857,1,712.7578,840.7988,0.89941406,791.8789,825.7578,0.72753906,777.3789,863.1211,0.5385742,811.14844,846.5,0.7792969,782.5742,841.72656,0.81152344
5735,829.53125,857,1,715.90735,839.79297,0.8378906,798.3711,825.7578,0.7158203,780.5762,860.64844,0.56103516,815.1094,846.5,0.71728516,782.7422,841.0762,0.80029297
5736,831.2207,856.7461,0.8730469,720.0508,838.1035,0.75146484,798.71094,827.48145,0.46264648,786.8779,860.4807,0.49169922,817.10547,847.5762,0.7060547,784.87695,840.8242,0.84033203
5737,833.47266,856.02344,0.8251953,727.584,837.8135,0.6723633,801.8672,827.48145,0.51171875,789.00195,859.2407,0.4350586,819.88916,848.7324,0.7138672,787.6821,840.02344,0.80126953
5738,838.6113,856.02344,0.9238281,728.9238,837.458,0.7788086,804.15466,829.0781,0.5288086,796.04706,856.916,0.4309082,819.96155,848.7324,0.80322266,793.12305,838.8906,0.83203125
5739,846.1133,855.90625,0.91796875,732.8076,837.0283,0.6176758,809.6289,829.5625,0.52197266,802.49316,856.4883,0.4934082,829.9404,848.7324,0.7089844,796.65186,838.4219,0.8652344
5740,854.61914,855.0176,0.96875,736.4844,836.8545,0.47729492,816.9629,827.48145,0.42456055,804.5088,856.4375,0.5234375,836.5552,848.7324,0.7573242,803.60205,836.53906,0.8183594
5741,861.6543,855.0176,1,738.0625,836.8545,0.6376953,820.06744,824.2656,0.36938477,806.9453,855.72266,0.49829102,842.63184,847.8281,0.8647461,805.78125,836.4883,0.7680664
5742,870.8613,852.6553,1,742.4258,836.8545,0.7558594,822.8867,827.2168,0.35913086,818.75195,853.8711,0.5444336,850.7998,846.61523,0.98095703,812.4617,836.4883,0.78466797
5743,878.5586,851.5205,1,747.798,836.91455,0.7314453,827.0625,825.08203,0.3857422,826.4492,853.28125,0.5546875,859.2881,843.5139,0.78808594,820.771,835.8269,0.7338867
5744,884.59863,851.126,1,752.40625,838.0293,0.5444336,840.03906,822.7051,0.3544922,829.5781,853.1709,0.56347656,863.98047,842.8135,0.9326172,827.5383,835.4199,0.7001953
5745,888.71875,850.5928,1,757.2295,838.25,0.63671875,844.3789,822.78516,0.36743164,835.57495,852.38745,0.5566406,867.5298,841.20703,0.88134766,829.80273,835.3828,0.7285156
5746,889.8418,850.5928,1,759.60547,839.41797,0.62158203,844.98047,822.78516,0.42114258,842.2998,852.38745,0.57421875,870.5547,840.41797,0.78808594,836.81055,835.3828,0.78564453
5747,890.6533,850.5928,1,761.9883,843.6321,0.5263672,847.9414,822.0703,0.42407227,842.94824,852.37646,0.56152344,872.23047,840.3867,0.7919922,838.7754,833.9824,0.78271484
5748,890.6533,850.6123,1,767.46484,844.39185,0.5629883,849.9746,819.776,0.41503906,843.23145,852.37646,0.5546875,872.51953,839.5508,0.7753906,842.83203,833.80664,0.7607422
5749,890.6533,850.6221,1,771.80664,844.39185,0.6894531,852.25806,817.1074,0.49487305,844.28735,852.37646,0.5917969,872.53516,838.0547,0.72509766,844.107,833.80664,0.8125
5750,890.6533,850.93945,1,775.3281,844.39185,0.9033203,853.8574,814.90625,0.5722656,845.6162,851.1128,0.5986328,872.8711,837.6758,0.7026367,846.02734,832.416,0.82714844
5751,890.6533,850.93945,1,778.4541,844.40454,0.7910156,854.416,814.33984,0.54052734,846.5586,849.92773,0.546875,872.9414,836.60547,0.6245117,848.3906,831.5039,0.7680664
5752,891.8922,850.6221,1,781.49316,844.37695,0.72998047,861.85547,814.09375,0.51220703,847.5996,848.5117,0.46142578,878.33594,836.60547,0.6044922,851.7822,831.5039,0.8354492
5753,894.64844,850.2012,0.96875,785.8496,844.37695,0.8149414,865.5801,812.97656,0.56933594,852.3259,847.584,0.46606445,880.41406,836.60547,0.6484375,854.6914,831.3906,0.8754883
5754,898.5117,850.1709,0.9589844,788.1771,844.37695,0.8754883,866.6123,812.31445,0.48095703,854.4453,847.0781,0.42236328,881.14453,837.1113,0.7788086,857.57227,831.3047,0.8671875
5755,906.0586,843.76135,0.75927734,791.7422,844.37695,0.8696289,870.47266,812.31445,0.6245117,864.39844,847.0781,0.3996582,888.4844,838.65625,0.6801758,864.9492,831.3047,0.8857422
5756,913.00977,834.7656,0.5600586,795.5188,843.1001,0.82421875,875.46484,812.31445,0.57470703,872.2578,846.15625,0.36669922,896.4922,838.65625,0.59375,869.3965,831.3047,0.9526367
5757,919.42773,828.1094,0.63378906,798.5586,842.4287,0.8305664,879.48047,812.2534,0.4321289,874.3867,845.9297,0.34936523,905.53906,837.8115,0.73876953,872.4844,830.8125,0.8208008
5758,922.375,822.63477,0.6191406,804.0935,842.16406,0.89697266,882.5625,812.2534,0.46679688,878.50586,845.8535,0.3947754,913.4336,837.1113,0.82128906,877.35645,830.125,0.7236328
5759,930.40625,820.82715,0.7441406,807.18945,841.21875,0.80810547,885.6504,812.2534,0.55126953,881.5547,845.8535,0.3828125,918.4492,834.9619,0.73339844,880.39844,830.125,0.7373047
5760,937.19727,818.06934,0.70654297,810.95605,839.9668,0.79003906,889.3828,811.5078,0.48583984,887.9707,844.9297,0.3720703,924.3938,834.77637,0.828125,884.21655,829.6299,0.7138672
5761,942.71094,815.0879,0.73535156,814.08984,836.6665,0.8286133,900.9331,809.0586,0.5644531,893.4033,844.43384,0.45922852,929.8281,830.69336,0.8100586,892.43823,827.17725,0.7729492
5762,946.75195,812.21924,0.89453125,818.6133,834.1338,0.8154297,907.02734,808.45703,0.58935547,901.63477,842.97656,0.4958496,933.1553,826.86426,0.8930664,895.7246,825.58594,0.8076172
5763,948.0809,810.6387,0.9448242,820.10156,833.61914,0.6816406,911.39844,807.2969,0.6279297,903.25,842.91895,0.5102539,935.92773,825.62695,0.91259766,900.3889,823.08984,0.8286133
5764,948.37524,809.64844,0.94921875,822.9844,833.0996,0.7446289,913.82227,805.6719,0.6425781,904.53125,840.9883,0.46362305,937.10547,825.59766,0.9526367,903.5254,822.5,0.73828125
5765,948.729,809.08203,0.9707031,826.76855,833.06055,0.81884766,915.3467,803.7495,0.6621094,910.7207,840.7578,0.44360352,937.19336,824.5742,0.9765625,906.9834,822.37695,0.8129883
5766,949.09863,808.41406,0.9873047,831.71094,833.0996,0.89453125,917.1904,803.69995,0.67822266,912.6211,838.4512,0.41308594,938.2119,823.2988,0.9707031,909.16406,821.58105,0.8071289
5767,949.1904,807.84375,0.99121094,836.5718,833.0996,0.9033203,917.5283,803.69995,0.72216797,912.6211,836.49,0.4272461,938.8574,822.0879,0.9980469,909.63965,820.5425,0.8149414
5768,949.5049,807.4922,0.8588867,839.8594,833.1992,0.5991211,918.416,803.69995,0.5473633,918.3828,835.9639,0.39013672,940.55225,821.78516,0.92626953,910.25195,819.819,0.74902344
5769,949.5459,806.77734,0.7504883,843.0454,833.1992,0.62597656,919.8457,804.20764,0.4650879,918.3828,834.60156,0.3881836,941.67676,821.3047,0.8305664,910.65625,819.7246,0.7475586
5770,953.8672,805.7744,0.7470703,846.72266,833.1992,0.61083984,925.60547,804.20764,0.5229492,919.9707,833.0625,0.32592773,945.0586,817.4219,0.89990234,915.5642,816.4375,0.76708984
5771,954.72656,802.20996,0.69140625,850.91406,832.09375,0.57666016,928.7168,804.20764,0.52246094,919.9707,831.03516,0.32739258,948.1172,815.81836,0.8330078,917.41406,815.96875,0.64697266
5772,958.52734,796.6997,0.65771484,852.1406,830.3574,0.7402344,930.4199,800.4844,0.56640625,922.16016,829.8467,0.33813477,951.30273,811.88214,0.77197266,922.4219,814.01953,0.6713867
5773,961.56055,792.09766,0.8227539,854.2363,829.88574,0.77783203,932.47046,795.9736,0.5722656,938.3711,822.37305,0.34301758,956.42847,806.93945,0.92626953,926.03516,811.4707,0.6928711
5774,964.52637,785.34766,0.83740234,857.03906,828.9839,0.72314453,935.56836,790.2969,0.5498047,939.39453,820.34375,0.36083984,962.3633,802.83984,1,929.1719,808.2168,0.7314453
5775,969.35156,778.83105,0.7324219,860.3296,828.39307,0.64160156,938.85156,787.7158,0.5205078,945.2031,818.83594,0.30810547,967.4668,798.9922,0.9501953,933.5742,805.1885,0.75
5776,976.1406,772.65186,0.82958984,866.0908,827.6804,0.65625,942.39844,783.42773,0.5253906,945.2031,815.52344,0.34057617,971.2427,791.4512,0.9584961,939.0029,803.53076,0.67578125
5777,978.6836,770.51953,0.83691406,869.2744,827.4321,0.6069336,944.8926,780.34106,0.53222656,946.08203,812.90625,0.32177734,975.83984,788.0347,0.93359375,941.0254,801.0488,0.6845703
5778,981.34766,767.0625,0.88134766,871.81836,827.4321,0.70703125,945.8828,778.97656,0.51904297,946.8242,811.0156,0.29663086,978.06934,787.03906,0.8925781,942.31445,799.4922,0.65478516
5779,983.69727,764.89014,0.8930664,873.64844,827.6804,0.62841797,947.50806,777.85156,0.5131836,960.91797,806.7754,0.28051758,979.5371,784.89453,0.95654297,945.6699,797.59766,0.6323242
5780,985.21094,763.7623,0.8730469,878.7656,827.6804,0.73046875,949.8125,776.11523,0.48950195,962.20215,805.33887,0.28979492,981.80176,783.46094,0.9682617,948.22656,797.2666,0.7270508
5781,985.4297,763.09033,0.85302734,882.8467,827.48486,0.8388672,954.10156,774.5039,0.5126953,969.13086,801.3242,0.30322266,982.8418,782.7031,0.9794922,951.6875,795.4961,0.79541016
5782,985.7461,762.5918,0.84375,885.4912,827.48486,0.85498047,955.2461,773.09863,0.5410156,970.3721,800.52734,0.2927246,983.1074,782.0547,0.9707031,952.72656,794.29297,0.8413086
5783,985.7461,762.33594,0.8520508,888.0469,826.61426,0.8178711,956.3203,771.5796,0.58984375,971.0303,799.64453,0.29833984,983.1758,781.50195,0.99365234,953.7949,793.1465,0.85546875
5784,985.7461,762.0166,0.8666992,891.98865,826.48145,0.9243164,956.66406,769.9746,0.59765625,971.7449,798.7383,0.29663086,983.48047,780.8872,0.98779297,954.81445,792.2461,0.84033203
5785,985.66797,761.55273,0.83935547,894.87305,826.4414,0.98828125,956.66406,768.6797,0.61816406,975.98047,798.5078,0.28027344,983.48047,779.7444,0.9526367,956.50244,791.5625,0.8261719
5786,985.48047,761.15234,0.8154297,899.3296,825.93164,1,956.66406,767.35547,0.65283203,977.10156,797.06055,0.2980957,983.48047,778.53906,0.90478516,959.5547,790.55664,0.82910156
5787,981.3574,760.25,0.77197266,901.1953,825.60156,1,957.75,766.77734,0.65527344,977.29297,794.21484,0.31640625,983.2578,777.0488,0.90527344,959.59375,790.2051,0.8413086
5788,981.3574,754.9336,0.71972656,902.6875,825.0508,0.97802734,957.75,766.1367,0.6611328,978.0498,791.9414,0.38500977,983.2578,772.5244,0.83935547,961.30273,788.7197,0.90527344
5789,981.3574,751.25586,0.7265625,906.3955,823.2383,0.94384766,957.75,765.03125,0.6274414,978.9219,790.9082,0.40625,983.2578,772.5244,0.76416016,963.48975,786.56934,0.88378906
5790,984.33203,749.5488,0.7294922,908.6006,822.0586,0.9404297,959.69336,764.59766,0.5932617,979.6455,789.54297,0.24841309,988.7324,771.94763,0.7993164,964.6426,785.35156,0.8334961
5791,987.8998,749.5488,0.73046875,910.29297,820.17444,0.97802734,962.0156,764.0742,0.54003906,984.2031,789.52344,0.21191406,993.31836,770.5596,0.90185547,967.6836,784.3008,0.7661133
5792,991.85156,749.5488,0.70458984,911.5215,818.7012,0.9897461,962.3672,758.93164,0.49731445,988.1119,788.2698,0.20727539,993.8633,770.5596,0.9760742,971.71484,784.0703,0.75097656
5793,1007.7539,754.22754,0.66845703,916.0327,815.9961,0.87597656,962.8828,758.93164,0.38598633,989.93066,784.9414,0.2602539,1000.30664,768.59375,0.8520508,975.4863,780.18884,0.80615234
5794,1015.4844,754.22754,0.6723633,916.08795,813.9619,0.94091797,962.8828,757.75,0.3227539,990.4238,784.3203,0.21044922,1003.97363,768.4492,0.88720703,977.66406,778.70703,0.7739258
5795,1022.5117,754.22754,0.72265625,916.08795,812.1238,0.9716797,981.7617,757.22363,0.34643555,990.4238,782.875,0.22961426,1011.2251,766.1914,0.7553711,980.39136,776.6387,0.72509766
5796,1028.152,753.8281,0.81103516,916.0327,809.6172,0.94628906,993.5254,755.16406,0.32080078,1000.28125,780.9927,0.22021484,1016.31055,765.251,0.8066406,982.3906,776.08594,0.5991211
5797,1030.2539,753.2656,0.7421875,916.0327,805.44336,0.734375,994.99805,754.2344,0.3112793,1002.11816,780.7915,0.20446777,1018.5381,764.7715,0.8745117,988.38477,774.76953,0.5913086
5798,1031.2754,752.0703,0.71533203,915.8008,802.7637,0.7680664,996.2754,752.03516,0.31103516,1005.13965,780.7617,0.20800781,1019.6062,764.4866,0.88134766,990.1387,773.5654,0.6152344
5799,1031.7188,751.93945,0.7055664,915.03516,799.4531,0.8051758,997.55664,750.49023,0.32006836,1006.4492,780.26636,0.2220459,1020.6255,764.4426,0.85595703,993.97656,771.15186,0.5942383
5800,1032.2695,751.625,0.70751953,914.50586,796.8501,0.8676758,997.55664,748.6299,0.33569336,1007.3008,780.26636,0.24121094,1021.51465,763.5713,0.85839844,995.12256,769.8887,0.64746094
5801,1032.3281,751.39844,0.72021484,914.50586,795.30664,0.8671875,997.64355,747.84265,0.36401367,1007.3008,779.4907,0.23474121,1022.03906,763.1992,0.8364258,995.12256,768.834,0.6640625
5802,1032.5,750.8086,0.7363281,914.50586,792.6875,0.7841797,997.64355,746.1914,0.4736328,1007.3008,779.4907,0.2434082,1022.334,762.2656,0.8339844,995.12256,767.5586,0.7036133
5803,1032.832,750.5918,0.7397461,917.8711,788.8452,0.8261719,998.4492,744.50977,0.58447266,1001.59766,779.4907,0.30444336,1022.6367,762.208,0.8413086,994.2178,765.0713,0.7866211
5804,1032.9727,750.4121,0.7373047,918.96484,786.37305,0.8935547,998.5371,741.66016,0.6347656,995.8203,779.4238,0.3227539,1022.8379,761.83203,0.8510742,994.2178,763.91864,0.8417969
5805,1033.3984,749.93164,0.7680664,918.96484,784.90625,0.9033203,998.5371,741.66016,0.7871094,995.3594,779.46875,0.3720703,1022.8496,760.76953,0.9165039,993.9844,763.0991,0.79345703
5806,1033.668,749.416,0.77001953,918.96484,784.1719,0.9428711,998.7754,741.4375,0.61816406,995.3594,779.46875,0.34985352,1023.22656,759.59375,0.9038086,993.9844,761.85156,0.79248047
5807,1033.668,749.125,0.7949219,918.6836,782.8828,0.9980469,998.58203,741.4375,0.5493164,995.3242,779.4238,0.33740234,1023.22656,759.5762,0.9067383,994.86914,761.66797,0.7519531
5808,1033.8438,749.00195,0.80566406,918.4375,781.3408,1,998.58203,741.4375,0.5751953,995.21875,779.1113,0.3466797,1023.27344,758.7207,0.91064453,995.0991,761.66797,0.7998047
5809,1033.8438,748.8369,0.82714844,918.4375,779.5879,1,998.7754,741.3281,0.5444336,995.1992,778.6719,0.3479004,1023.3281,758.4668,0.93310547,995.0991,761.16016,0.7817383
5810,1033.8438,748.5293,0.82373047,918.4375,778.6338,1,1001.58203,740.21155,0.5317383,995.0078,777.8867,0.35424805,1023.33203,758.4668,0.9267578,995.1636,760.3242,0.80322266
5811,1033.9766,748.22974,0.80615234,918.52734,777.1992,0.9980469,1003.7656,740.21155,0.53125,994.3008,777.58594,0.36206055,1024.0391,758.4668,0.9135742,995.0991,760.2539,0.8276367
5812,1034.125,748.1587,0.82910156,918.5801,775.7617,0.96240234,1004.0586,740.21155,0.54248047,992.52734,776.21875,0.36987305,1024.9805,760.39453,0.88378906,995.1636,760.0508,0.84814453
5813,1034.2891,748.1587,0.8017578,918.7422,774.09766,0.89208984,1004.6914,740.5171,0.53808594,991.9492,775.79297,0.39111328,1026.3086,762.33984,0.8413086,995.1636,759.96094,0.875
5814,1035.3516,748.1098,0.7578125,919.2031,773.0664,0.8828125,1005.2656,740.7324,0.546875,991.8008,775.55664,0.39501953,1027.3516,762.33984,0.82373047,995.8474,759.95703,0.8852539
5815,1037.3711,748.1098,0.7055664,919.97656,770.8506,0.90283203,1005.7539,740.82324,0.5395508,991.8008,775.2324,0.39111328,1027.3516,762.33984,0.7944336,996.34937,759.91406,0.87890625
5816,1037.4922,747.7119,0.7314453,920.31445,770.14844,0.8828125,1005.9922,740.82324,0.5263672,991.90625,775.1133,0.38598633,1027.3516,762.33984,0.78125,996.87354,759.9004,0.86083984
5817,1037.5938,747.47705,0.7363281,920.52734,769.709,0.8691406,1006.28516,740.82324,0.52246094,991.8008,775.0762,0.38623047,1027.1123,761.33594,0.7792969,997.1846,759.9004,0.8564453
5818,1037.7305,747.3179,0.7397461,920.94336,769.3125,0.86328125,1006.5,740.8667,0.5205078,991.8008,775.00977,0.3857422,1027.1123,761.33594,0.7763672,997.1846,759.7832,0.85498047
5819,1037.7344,747.3179,0.7348633,921.21094,769.0801,0.8359375,1006.53516,740.8667,0.5229492,991.7031,774.97266,0.39233398,1027.1123,761.33594,0.77490234,997.1846,759.7754,0.85546875
5820,1037.7695,747.3179,0.7285156,921.58984,768.96484,0.8066406,1006.5664,740.8667,0.52001953,991.50586,774.9531,0.39624023,1027.2139,761.43555,0.7788086,997.0381,759.7676,0.85546875
5821,1037.7539,747.41846,0.7265625,921.6367,768.8418,0.80859375,1006.65234,740.9678,0.52197266,991.3496,774.9531,0.40649414,1027.294,761.625,0.78271484,996.8628,759.7285,0.8671875
5822,1037.7695,747.54224,0.72558594,921.7012,768.68945,0.78515625,1006.7383,741.0762,0.5175781,991.23047,774.9297,0.4128418,1027.294,761.8496,0.78808594,996.63965,759.70703,0.8691406
5823,1037.7695,747.56055,0.72509766,921.7012,768.6133,0.77197266,1006.7656,741.083,0.5185547,991.2012,774.9375,0.40820312,1027.294,761.8711,0.7836914,996.63965,759.69727,0.8701172
5824,1037.7539,747.5891,0.72509766,921.82227,768.46875,0.78027344,1006.76953,741.083,0.52001953,991.2012,774.9375,0.40771484,1027.2915,761.8711,0.78222656,996.63965,759.68945,0.87646484
5825,1037.7539,747.60986,0.72216797,921.82227,768.3789,0.7832031,1006.8047,741.083,0.52246094,991.2012,774.9297,0.40942383,1027.2915,761.8711,0.77978516,996.64453,759.68945,0.8779297
5826,1037.7578,747.60986,0.7216797,921.82227,768.2988,0.7788086,1006.89453,741.0879,0.52246094,991.209,774.9004,0.41015625,1027.2915,761.8965,0.7788086,996.7246,759.68945,0.88183594
5827,1037.7578,747.60986,0.71972656,921.8887,768.2988,0.7949219,1006.91797,741.16406,0.51708984,991.209,774.8887,0.4104004,1027.3818,761.9258,0.77978516,996.7334,759.72266,0.88183594
5828,1037.7773,747.58154,0.71777344,922.0381,768.2988,0.7861328,1007.04297,741.25684,0.5102539,991.2676,774.8887,0.40625,1027.4888,761.9922,0.77978516,996.8794,759.83594,0.8779297
5829,1037.8125,747.58105,0.7158203,922.2969,768.3203,0.7685547,1007.1094,741.36523,0.50439453,991.2676,774.8887,0.40234375,1027.5916,762.0322,0.77783203,997.00977,759.9668,0.875
5830,1037.8242,747.5762,0.7109375,922.5039,768.3203,0.76708984,1007.21875,741.4492,0.4951172,991.2949,774.86523,0.39624023,1027.71,762.0908,0.78027344,997.14453,759.9746,0.8725586
5831,1037.8242,747.5442,0.7167969,922.65234,768.3203,0.7836914,1007.22656,741.48047,0.49829102,991.2949,774.8203,0.40039062,1027.72,762.11816,0.78271484,997.14453,759.9746,0.87597656
5832,1037.832,747.53564,0.71533203,922.86914,768.2285,0.7675781,1007.29297,741.48047,0.49682617,991.2949,774.6914,0.39916992,1027.7859,762.20215,0.7871094,997.14453,759.9746,0.8769531
5833,1037.8477,747.4966,0.71728516,923.1157,768.1465,0.7426758,1007.3633,741.4492,0.49682617,991.21484,774.4961,0.39892578,1027.8014,762.21875,0.78759766,997.124,759.83984,0.8798828
5834,1037.8984,747.4966,0.71728516,923.1543,768.1328,0.7011719,1007.46484,741.3574,0.5,991.21484,774.375,0.39746094,1027.8821,762.2373,0.78759766,997.124,759.7363,0.8754883
5835,1037.9141,747.4966,0.7182617,923.2593,768.08203,0.7607422,1007.47656,741.291,0.50146484,991.14453,774.3672,0.4038086,1027.8955,762.2373,0.78271484,997.124,759.6504,0.8828125
5836,1037.9141,747.4878,0.7138672,923.51025,768.06445,0.7192383,1007.5156,741.01855,0.5029297,991.1387,774.25977,0.39819336,1027.9458,762.20215,0.77001953,997.3076,759.5039,0.8847656
5837,1037.9141,747.4966,0.7128906,923.62305,767.8867,0.71972656,1007.5547,740.8965,0.50683594,991.1094,774.1699,0.40185547,1028.0262,762.19824,0.76416016,997.3242,759.39844,0.88671875
5838,1037.9141,747.4966,0.7089844,923.6516,767.7344,0.6904297,1007.6133,740.8335,0.50927734,991.1094,774.13477,0.40405273,1028.0913,762.1875,0.7597656,997.3574,759.3164,0.8808594
5839,1038,747.4878,0.7133789,923.78796,767.7344,0.66845703,1007.6172,740.7085,0.51220703,991.1094,773.98047,0.39892578,1028.0942,762.16406,0.7524414,997.3584,759.26953,0.88964844
5840,1038.1133,747.3989,0.7158203,923.8722,767.71094,0.69140625,1007.71484,740.69824,0.51416016,991.1426,773.98047,0.40014648,1028.1188,762.084,0.7495117,997.5615,759.1699,0.8964844
5841,1038.1289,747.3989,0.7158203,924.04443,767.6172,0.69433594,1007.72266,740.6367,0.5185547,991.2324,773.9551,0.40234375,1028.1469,762.00977,0.7519531,997.6875,759.0508,0.9003906
5842,1038.2578,747.3989,0.7192383,924.04443,767.6172,0.7001953,1007.8203,740.5449,0.52734375,991.5703,773.9512,0.40039062,1028.2155,762.00977,0.7426758,998.0801,759.0508,0.90283203
5843,1038.2578,747.39795,0.7207031,924.04443,767.6133,0.7211914,1007.85156,740.54004,0.52783203,991.5703,773.9512,0.4025879,1028.2224,762.00977,0.7441406,998.0801,759.0508,0.90625
5844,1038.2617,747.4048,0.72216797,924.00494,767.59766,0.7529297,1007.85547,740.54004,0.52734375,991.5703,773.9512,0.4099121,1028.249,762.01953,0.7475586,998.0801,759.0781,0.9121094
5845,1038.2617,747.4321,0.72216797,924.00494,767.59766,0.7558594,1007.85547,740.5449,0.5263672,991.5703,773.9512,0.4111328,1028.2644,762.09863,0.74853516,998.0801,759.1035,0.9135742
5846,1038.2969,747.4048,0.72216797,923.9573,767.5586,0.7470703,1007.9258,740.562,0.52685547,991.5703,773.916,0.41674805,1028.2654,762.1621,0.7480469,998.0879,759.1133,0.9160156
5847,1038.3633,747.3911,0.72558594,924.00494,767.52344,0.7680664,1007.9844,740.57764,0.5258789,991.5781,773.9121,0.41625977,1028.2664,762.1621,0.7475586,998.08984,759.11914,0.92041016
5848,1038.4375,747.3794,0.7265625,924.0149,767.4336,0.77001953,1008.11914,740.57764,0.52441406,991.6387,773.88184,0.41625977,1028.3369,762.1621,0.74902344,998.2422,759.13086,0.92041016
5849,1038.5586,747.3408,0.73046875,924.1138,767.4297,0.76708984,1008.16797,740.57764,0.5253906,991.71484,773.8662,0.41577148,1028.3738,762.10156,0.74316406,998.3633,759.13086,0.91748047
5850,1038.5859,747.2876,0.7338867,924.1138,767.3906,0.7597656,1008.2324,740.5464,0.5263672,991.7324,773.8662,0.41357422,1028.4443,762.0537,0.73828125,998.4629,759.13086,0.9140625
5851,1038.668,747.2876,0.72558594,924.1138,767.28516,0.7685547,1008.2461,740.53076,0.5234375,991.83203,773.8662,0.41430664,1028.4443,762.0537,0.7397461,998.5957,759.1172,0.91503906
5852,1038.6875,747.2876,0.7246094,924.1138,767.16797,0.7788086,1008.28516,740.46924,0.5258789,991.83203,773.86426,0.41748047,1028.4443,762.0537,0.73291016,998.709,759.041,0.9194336
5853,1040.0254,747.55664,0.7348633,924.1138,767.0703,0.76904297,1009.10547,740.46924,0.5317383,991.8535,773.8662,0.42578125,1028.4443,762.22266,0.72314453,998.8672,758.8906,0.9316406
5854,1041.7129,749.45703,0.72802734,924.1284,767.0703,0.7729492,1009.5,740.1426,0.53564453,992.0039,773.86816,0.44360352,1028.436,762.9863,0.7573242,998.88086,758.6914,0.9453125
5855,1043.4634,752.3594,0.75097656,924.3374,767.0703,0.77734375,1010.458,739.9256,0.5449219,995.70996,773.8662,0.40405273,1028.0347,763.45264,0.7319336,998.88086,758.334,0.8833008
