bodyparts,beak,beak,beak,tail,tail,tail,left_wing,left_wing,left_wing,right_wing,right_wing,right_wing,head,head,head,back,back,back
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
31,927.61523,311.48047,0.43164062,996.2969,288.39453,0.37109375,969.8711,317.78516,0.8417969,943.1992,278.54688,0.5888672,954.65625,288.56055,0.67285156,964.9922,296.96875,0.49853516
32,927.46094,311.54102,0.43603516,996.2969,288.39453,0.37353516,969.73047,317.75293,0.84277344,943.1133,278.3047,0.5864258,954.6133,288.40625,0.68310547,964.72266,296.8789,0.5004883
33,927.4199,311.57227,0.45043945,996.2969,288.39453,0.37109375,969.66016,317.75293,0.85009766,943.1133,278.28125,0.5883789,954.22266,288.40625,0.69384766,964.3281,296.85938,0.5058594
34,927.36523,311.57227,0.44702148,995.2212,291.16016,0.3713379,969.64453,317.7373,0.8461914,943.1133,278.2539,0.5859375,954.10547,288.40625,0.6972656,964.3281,296.85547,0.51123047
35,927.3594,311.60547,0.45874023,995.1987,291.16016,0.36987305,969.45703,317.64844,0.8911133,943.71484,278.28125,0.5859375,953.66797,288.58594,0.6977539,964.3281,296.53516,0.5317383
36,927.1836,311.80664,0.48828125,995.1929,291.16016,0.3701172,969.45703,317.64844,0.91748047,944.41406,278.3047,0.5961914,952.9453,288.72852,0.6928711,964.77734,295.8672,0.53027344
37,926.9629,311.89258,0.515625,995.1929,290.22266,0.39916992,969.45703,317.76172,0.95410156,944.9238,278.3672,0.61035156,952.71094,289.4414,0.6948242,964.8711,295.8672,0.53222656
38,926.9199,311.89258,0.5078125,995.1929,290.22266,0.40795898,969.5781,318.04492,1,946.04004,278.8203,0.5932617,952.2969,290.20703,0.6870117,965.02734,295.8672,0.5205078
39,926.90625,311.8672,0.5083008,995.23486,290.22266,0.3930664,969.5781,318.28516,1,946.66895,279.01953,0.6152344,951.9453,290.7246,0.67822266,965.23047,296.28125,0.515625
40,926.8496,311.8672,0.5019531,996.4441,290.73047,0.3881836,969.5781,318.77148,1,946.7051,279.02344,0.62060547,951.8926,291.01807,0.6870117,965.23047,296.28125,0.5185547
41,926.8496,311.86133,0.48095703,997.1914,291.69922,0.37524414,969.08594,318.8789,0.99853516,946.7051,279.04297,0.62402344,951.8926,291.01807,0.69628906,965.23047,296.28125,0.51416016
42,926.791,311.79297,0.47753906,998.5176,293.07812,0.33154297,968.7031,319.01172,0.98046875,946.7051,279.1211,0.6152344,951.4512,291.01807,0.70410156,965.1885,295.30078,0.52783203
43,926.68164,311.63086,0.44213867,999.0215,294.17188,0.3017578,968.4492,319.01172,0.9350586,946.4043,279.15234,0.6118164,951.3047,290.89453,0.70996094,965.10645,295.30078,0.5083008
44,926.4297,311.61914,0.45874023,1000.27344,295.89648,0.3215332,967.88086,319.25586,0.9316406,946.2793,279.15234,0.6015625,949.85156,290.7461,0.72998047,964.1311,295.30078,0.57910156
45,926.09766,311.54102,0.44555664,1000.3965,297.04883,0.37597656,967.02734,319.25586,0.9375,946.2793,279.15234,0.60791016,948.1455,290.3994,0.73095703,962.7578,295.55078,0.6225586
46,925.84863,311.5039,0.45825195,1000.71875,298.95312,0.3630371,966.7207,319.25586,0.9135742,946.2793,278.8828,0.6147461,947.6277,290.0078,0.72558594,962.2471,295.55078,0.65234375
47,925.84863,311.4297,0.44067383,1000.71875,300.35205,0.33984375,966.1953,319.04492,0.88378906,946.22363,278.6211,0.60302734,947.1367,289.54102,0.703125,961.6758,295.55078,0.6503906
